GEOID,state,county,NAME,median_rent,total_pop,bach_degree,median_income,unemployed,housing_units,vacant_houses,owner_occupied,renter_occupied,poverty_status,poverty_status_for_families,health_insurance_coverage,Ac_Total,Ac_Land,Ac_Water,Ac_Unp,max_walkable,mean_walkable,median_walkable,incarcerated,literacy,numeracy
01001,AL,Autauga County,"Autauga County, Alabama",979,58761,6726,68315,752,24457,2149,16832,5476,43983,15363,57443,386787.8781253,380435.6880523,6352.1900631,373158.784172,10,5.23437500003125,4.666666667,181,261.7,246.8
01003,AL,Baldwin County,"Baldwin County, Alabama",951,233420,33474,71039,3825,125113,34311,70708,20094,177454,61277,230074,1297423.8809672,1017464.3084644,279959.57247970003,932574.2105377,12.5,6.4503546099787235,6.25,1050,270.3,257.1
01005,AL,Barbour County,"Barbour County, Alabama",420,24877,1167,39712,516,11673,2657,5858,3158,16353,5722,21892,578877.0562932,566392.7703395,12484.2859313,534293.3334714,11,5.188405797173913,4.666666667,3044,235.9,215.7
01007,AL,Bibb County,"Bibb County, Alabama",465,22251,1047,50669,786,9046,1830,5465,1751,16055,4871,20850,400739.25951360003,398366.5833125,2372.6761919,318129.7804845,9.5,5.033333333333333,4.833333333,2007,248.1,231.6
01009,AL,Blount County,"Blount County, Alabama",499,59077,3840,57440,1578,24677,3051,17144,4482,43236,15416,58587,416392.987192,412682.665272,3710.3218961000002,412305.399557,8.5,4.666666666657143,4.5,129,258.5,245.8
01011,AL,Bullock County,"Bullock County, Alabama",428,10328,492,36136,144,4541,1091,2231,1219,7224,2248,9640,400083.10575,398591.09293,1492.0127803,395087.57383,7.166666667,3.9761904762857143,3,1528,227.3,203.9
01013,AL,Butler County,"Butler County, Alabama",436,18981,1029,44429,548,9835,2704,5047,2084,14318,4620,18686,497833.2914518,497165.82541479997,667.4660258,497165.8254058,10,4.956140350736842,4.833333333,38,242.9,222.2
01015,AL,Calhoun County,"Calhoun County, Alabama",567,116162,9098,54339,3692,53167,8474,31694,12999,87043,28213,114576,391846.8458656,387748.1507261,4098.6951433,348956.66593794,13,5.670329670318681,5.166666667,469,256.9,241
01017,AL,Chambers County,"Chambers County, Alabama",540,34612,2273,48805,559,16427,3284,9486,3657,26646,8880,34130,385984.3605579,381790.6534959,4193.7070697,381772.6963229,12,5.621212121242424,5.666666667,137,247.2,228.6
01019,AL,Cherokee County,"Cherokee County, Alabama",461,25069,1530,46621,425,14687,4690,7972,2025,19726,6609,24779,383976.513436,354248.322124,29728.1913085,341216.650912,9,4.192982456157894,3.333333333,80,254.7,241.4
